"","DR.Number","Date.Reported","Date.Occurred","Time.Occurred","Area.ID","Area.Name","Reporting.District","Crime.Code","Crime.Code.Description","MO.Codes","Victim.Age","Victim.Sex","Victim.Descent","Premise.Code","Premise.Description","Weapon.Used.Code","Weapon.Description","Status.Code","Status.Description","Crime.Code.1","Crime.Code.2","Crime.Code.3","Crime.Code.4","Address","Cross.Street","Lat","Lon","timestamp","day","hour"
"248",160517698,2016-10-05,2016-09-05,"03:00",5,"Harbor",551,"121","RAPE, FORCIBLE","0400 0527 1218 1259 1822",15,"F","H",109,"PARK/PLAYGROUND",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,NA,NA,NA,"500 N  WESTERN                      AV","",33.7501,-118.3092,3H 0M 0S,"Mon",3
"249",160901165,2016-09-05,2016-09-05,"14:52",9,"Van Nuys",926,"480","BIKE - STOLEN","1822 0344 2004 1402 0907 1218",56,"F","W",242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",NA,"","AA","Adult Arrest",480,998,NA,NA,"SYLMAR","GILMORE",34.1877,-118.4465,14H 52M 0S,"Mon",14
"250",161115871,2016-09-06,2016-09-05,"22:50",11,"Northeast",1171,"624","BATTERY - SIMPLE ASSAULT","1218 0400 0342",28,"M","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"3700 W  SUNSET                       BL","",34.0917,-118.2741,22H 50M 0S,"Mon",22
"251",161517697,2016-09-05,2016-09-05,"21:30",15,"N Hollywood",1549,"440","THEFT PLAIN - PETTY ($950 & UNDER)","0344 1218",44,"M","W",108,"PARKING LOT",NA,"","IC","Invest Cont",440,NA,NA,NA,"5500    LANKERSHIM                   BL","",34.17,-118.3777,21H 30M 0S,"Mon",21
"252",160122816,2016-09-06,2016-09-06,"14:20",1,"Central",157,"624","BATTERY - SIMPLE ASSAULT","1218 2004 1202 0416",60,"F","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"600 E  6TH                          ST","",34.0417,-118.2443,14H 20M 0S,"Tues",14
"253",160122848,2016-09-06,2016-09-06,"14:00",1,"Central",162,"624","BATTERY - SIMPLE ASSAULT","2004 1218 0416",56,"F","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"800 S  FIGUEROA                     ST","",34.0479,-118.2612,14H 0M 0S,"Tues",14
"254",160216796,2016-09-07,2016-09-06,"20:00",2,"Rampart",233,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 1822 0342 1218",49,"M","H",102,"SIDEWALK",312,"PIPE/METAL PIPE","IC","Invest Cont",230,NA,NA,NA,"BEVERLY                      BL","OCCIDENTAL                   BL",34.0707,-118.2795,20H 0M 0S,"Tues",20
"255",160515498,2016-09-07,2016-09-06,"00:01",5,"Harbor",563,"745","VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 1218",54,"F","W",101,"STREET",NA,"","IC","Invest Cont",745,NA,NA,NA,"13TH","PACIFIC",33.7324,-118.2879,1M 0S,"Tues",0
"256",160619427,2016-09-06,2016-09-06,"07:15",6,"Hollywood",666,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0400 1218 0411",44,"M","B",102,"SIDEWALK",207,"OTHER KNIFE","IC","Invest Cont",230,NA,NA,NA,"LEXINGTON","VINE",34.0926,-118.3266,7H 15M 0S,"Tues",7
"257",160815541,2016-09-06,2016-09-06,"16:40",8,"West LA",884,"860","BATTERY WITH SEXUAL CONTACT","0522 0400 0202 1218",26,"F","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",860,NA,NA,NA,"11100 W  PICO                         BL","",34.037,-118.4351,16H 40M 0S,"Tues",16
"258",160124339,2016-09-28,2016-09-07,"13:30",1,"Central",157,"121","RAPE, FORCIBLE","0500 0527 0532 0421 0446 0416 0342 1218",39,"F","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,NA,NA,NA,"6TH","CROCKER",34.0417,-118.2443,13H 30M 0S,"Wed",13
"259",160414812,2016-09-07,2016-09-07,"14:00",4,"Hollenbeck",443,"930","CRIMINAL THREATS - NO WEAPON DISPLAYED","0443 1218 2004",35,"M","H",152,"UNDERPASS/BRIDGE*",NA,"","IC","Invest Cont",930,NA,NA,NA,"BRITTANIA","POMEROY",34.0609,-118.2052,14H 0M 0S,"Wed",14
"260",160916780,2016-09-07,2016-09-07,"15:45",9,"Van Nuys",943,"624","BATTERY - SIMPLE ASSAULT","0400 0416 1218 2004",59,"M","B",701,"HOSPITAL",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"14400    EMELITA                      ST","",34.1767,-118.4465,15H 45M 0S,"Wed",15
"261",161613672,2016-09-07,2016-09-07,"03:30",16,"Foothill",1615,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0411 1218 1822 1414 0345",21,"M","B",102,"SIDEWALK",223,"UNKNOWN TYPE CUTTING INSTRUMENT","IC","Invest Cont",230,NA,NA,NA,"OSBORNE                      ST","FOOTHILL",34.2754,-118.3904,3H 30M 0S,"Wed",3
"262",161613734,2016-09-08,2016-09-07,"23:00",16,"Foothill",1675,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0430 1218 1822 1100 1223",23,"M","H",101,"STREET",102,"HAND GUN","IC","Invest Cont",230,NA,NA,NA,"GLENOAKS","BRANFORD",34.2309,-118.3727,23H 0M 0S,"Wed",23
"263",160122983,2016-09-08,2016-09-08,"17:00",1,"Central",147,"624","BATTERY - SIMPLE ASSAULT","0444 1218 2004",40,"F","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"5TH","CROCKER",34.0453,-118.2443,17H 0M 0S,"Thurs",17
"264",160216846,2016-09-08,2016-09-08,"11:35",2,"Rampart",246,"624","BATTERY - SIMPLE ASSAULT","0444 0429 0369 1218",59,"F","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"ALVARADO","7TH                          ST",34.0565,-118.2768,11H 35M 0S,"Thurs",11
"265",160216879,2016-09-09,2016-09-08,"05:00",2,"Rampart",265,"624","BATTERY - SIMPLE ASSAULT","0416 2002 1218 1820",22,"M","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"700 S  ALVARADO                     ST","",34.0565,-118.2768,5H 0M 0S,"Thurs",5
"266",160414862,2016-09-08,2016-09-08,"20:30",4,"Hollenbeck",427,"440","THEFT PLAIN - PETTY ($950 & UNDER)","1218 0344",47,"F","H",109,"PARK/PLAYGROUND",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",440,NA,NA,NA,"EASTERN                      AV","RUTH",34.0802,-118.1848,20H 30M 0S,"Thurs",20
"267",160901181,2016-09-08,2016-09-08,"09:30",9,"Van Nuys",941,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1218 2004 0334 1414 0906 0416 0411",46,"M","H",101,"STREET",200,"KNIFE WITH BLADE 6INCHES OR LESS","IC","Invest Cont",230,998,NA,NA,"BESSEMER","VESPER",34.1766,-118.4589,9H 30M 0S,"Thurs",9
"268",161015270,2016-09-08,2016-09-08,"10:30",10,"West Valley",1015,"624","BATTERY - SIMPLE ASSAULT","0913 1218 0400 0417",55,"M","W",402,"MARKET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"18100    SHERMAN                      WY","",34.2048,-118.5273,10H 30M 0S,"Thurs",10
"269",161318970,2016-09-08,2016-09-08,"18:50",13,"Newton",1371,"624","BATTERY - SIMPLE ASSAULT","1218 0446 0432 0416",24,"M","B",109,"PARK/PLAYGROUND",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"BROADWAY","52ND                         ST",33.9956,-118.2783,18H 50M 0S,"Thurs",18
"270",162000878,2016-09-08,2016-09-08,"01:00",20,"Olympic",2029,"210","ROBBERY","1402 0907 2004 1218 0355 0913 0416 0400 0344 0346",28,"M","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",210,998,NA,NA,"COMMONWEALTH                 AV","6TH                          ST",34.0637,-118.2857,1H 0M 0S,"Thurs",1
"271",162115852,2016-09-09,2016-09-08,"22:30",21,"Topanga",2136,"440","THEFT PLAIN - PETTY ($950 & UNDER)","1218 0344",47,"F","W",210,"RESTAURANT/FAST FOOD",NA,"","IC","Invest Cont",440,NA,NA,NA,"7200    TOPANGA CANYON               BL","",34.201,-118.6059,22H 30M 0S,"Thurs",22
"272",160123062,2016-09-09,2016-09-09,"21:40",1,"Central",166,"624","BATTERY - SIMPLE ASSAULT","2004 0416 1218",58,"M","B",102,"SIDEWALK",308,"STICK","IC","Invest Cont",624,NA,NA,NA,"600 S  SAN PEDRO                    ST","",34.0421,-118.2469,21H 40M 0S,"Fri",21
"273",160123086,2016-09-09,2016-09-09,"23:00",1,"Central",156,"626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 1218 2004 0448 0444",44,"F","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"6TH","WALL",34.0428,-118.2461,23H 0M 0S,"Fri",23
"274",160123142,2016-09-10,2016-09-09,"22:00",1,"Central",155,"480","BIKE - STOLEN","0344 1218",58,"M","H",101,"STREET",NA,"","IC","Invest Cont",480,NA,NA,NA,"6TH","MAPLE",34.0439,-118.2479,22H 0M 0S,"Fri",22
"275",160815681,2016-09-09,2016-09-09,"12:30",8,"West LA",817,"624","BATTERY - SIMPLE ASSAULT","1218 0444 0416 0445",43,"M","O",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"WEYBURN","BROXTON",34.0625,-118.447,12H 30M 0S,"Fri",12
"276",160916851,2016-09-09,2016-09-09,"03:40",9,"Van Nuys",935,"626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 1276 1218 0448 0400",28,"F","B",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"14100    CALVERT                      ST","",34.1817,-118.44,3H 40M 0S,"Fri",3
"277",161116083,2016-09-09,2016-09-09,"12:00",11,"Northeast",1102,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1206 1218 0421 0416",42,"M","W",203,"OTHER BUSINESS",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",230,NA,NA,NA,"LOS FELIZ","CRYSTAL SPRINGS",34.1367,-118.2713,12H 0M 0S,"Fri",12
"278",161116103,2016-09-09,2016-09-09,"23:00",11,"Northeast",1133,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0400 0416 1218 0913 2004 0445",34,"F","H",102,"SIDEWALK",312,"PIPE/METAL PIPE","AA","Adult Arrest",230,NA,NA,NA,"CASITAS                      AV","GLENDALE                     FY",34.1117,-118.2469,23H 0M 0S,"Fri",23
"279",161116104,2016-09-09,2016-09-09,"23:00",11,"Northeast",1133,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 1218 2004 0445 0913 0400",51,"M","H",102,"SIDEWALK",312,"PIPE/METAL PIPE","AA","Adult Arrest",230,NA,NA,NA,"CASITAS                      AV","GLENDALE                     FY",34.1117,-118.2469,23H 0M 0S,"Fri",23
"280",162115842,2016-09-09,2016-09-09,"15:15",21,"Topanga",2134,"624","BATTERY - SIMPLE ASSAULT","0416 1218",28,"M","W",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"22200    SHERMAN                      WY","",34.201,-118.6103,15H 15M 0S,"Fri",15
"281",162115859,2016-09-09,2016-09-09,"05:35",21,"Topanga",2144,"626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0416 1218 2004",52,"F","W",247,"CAR WASH",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"FALLBROOK","VICTORY",34.1907,-118.6234,5H 35M 0S,"Fri",5
"282",162016421,2016-09-09,2016-09-09,"02:15",20,"Olympic",2022,"624","BATTERY - SIMPLE ASSAULT","0416 0444 1218 1820 1206 2002 0429",34,"F","O",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"4TH","WESTERN",34.0672,-118.3091,2H 15M 0S,"Fri",2
"283",162016423,2016-09-09,2016-09-09,"01:30",20,"Olympic",2055,"330","BURGLARY FROM VEHICLE","0344 0346 0358 1307 1609 1310 1218",22,"F","H",101,"STREET",NA,"","IC","Invest Cont",330,NA,NA,NA,"MARIPOSA","OLYMPIC",34.0526,-118.2989,1H 30M 0S,"Fri",1
"284",160501072,2016-09-10,2016-09-10,"11:05",5,"Harbor",557,"870","CHILD ABANDONMENT","1257 0553 1218",NA,"F","W",108,"PARKING LOT",NA,"","AA","Adult Arrest",870,NA,NA,NA,"100 S  GAFFEY                       ST","",33.7433,-118.2923,11H 5M 0S,"Sat",11
"285",160901210,2016-09-10,2016-09-10,"12:00",9,"Van Nuys",946,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1218 0334",31,"M","W",103,"ALLEY",104,"SHOTGUN","AA","Adult Arrest",230,NA,NA,NA,"5500    MURIETTA                     AV","",34.1704,-118.4389,12H 0M 0S,"Sat",12
"286",161319058,2016-09-10,2016-09-10,"05:10",13,"Newton",1331,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1218 0334 0411 0216",27,"M","H",102,"SIDEWALK",218,"OTHER CUTTING INSTRUMENT","AO","Adult Other",230,NA,NA,NA,"3200 S  GRAND                        AV","",34.0215,-118.2755,5H 10M 0S,"Sat",5
"287",161319068,2016-09-10,2016-09-10,"08:50",13,"Newton",1313,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1218 0411",28,"M","H",102,"SIDEWALK",218,"OTHER CUTTING INSTRUMENT","IC","Invest Cont",230,NA,NA,NA,"400 E  20TH                         ST","",34.0286,-118.2622,8H 50M 0S,"Sat",8
"288",161319071,2016-09-10,2016-09-10,"11:30",13,"Newton",1375,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1309 0334 0913 0445 1218 0361 0603",39,"M","H",501,"SINGLE FAMILY DWELLING",302,"BLUNT INSTRUMENT","IC","Invest Cont",230,NA,NA,NA,"1100 E  55TH                         ST","",33.993,-118.2565,11H 30M 0S,"Sat",11
"289",161319073,2016-09-10,2016-09-10,"16:30",13,"Newton",1309,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","2004 1218 0416 1402",32,"M","B",102,"SIDEWALK",304,"CLUB/BAT","IC","Invest Cont",230,998,NA,NA,"7TH                          ST","WILSON",34.0347,-118.2339,16H 30M 0S,"Sat",16
"290",161918151,2016-09-10,2016-09-10,"19:30",19,"Mission",1903,"860","BATTERY WITH SEXUAL CONTACT","1218 0522",35,"F","W",710,"OTHER PREMISE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",860,NA,NA,NA,"POLK","FOOTHILL                     FY",34.3271,-118.4498,19H 30M 0S,"Sat",19
"291",162016471,2016-09-10,2016-09-10,"01:15",20,"Olympic",2029,"624","BATTERY - SIMPLE ASSAULT","1218 0305 0444 0429 1409",52,"M","O",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,998,NA,NA,"3200 W  4TH                          ST","",34.0669,-118.2892,1H 15M 0S,"Sat",1
"292",160916955,2016-09-11,2016-09-11,"17:00",9,"Van Nuys",933,"440","THEFT PLAIN - PETTY ($950 & UNDER)","0416 2004 1218 0344",45,"F","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",440,624,NA,NA,"14600    BESSEMER                     ST","",34.1809,-118.4509,17H 0M 0S,"Sun",17
"293",160123190,2016-09-11,2016-09-11,"17:00",1,"Central",185,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 1218",30,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",230,NA,NA,NA,"9TH                          ST","MAPLE",34.0395,-118.2527,17H 0M 0S,"Sun",17
"294",160123199,2016-09-11,2016-09-11,"21:00",1,"Central",155,"440","THEFT PLAIN - PETTY ($950 & UNDER)","0344 1218",54,"F","H",102,"SIDEWALK",NA,"","IC","Invest Cont",440,NA,NA,NA,"6TH                          ST","WALL",34.0435,-118.2471,21H 0M 0S,"Sun",21
"295",160916908,2016-09-11,2016-09-11,"03:30",9,"Van Nuys",904,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1218 0444 1414 1206 0400 0416",26,"M","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",230,NA,NA,NA,"7600    VAN NUYS                     BL","",34.2084,-118.4599,3H 30M 0S,"Sun",3
"296",161518054,2016-09-11,2016-09-11,"06:00",15,"N Hollywood",1555,"440","THEFT PLAIN - PETTY ($950 & UNDER)","1218 0344",63,"M","B",103,"ALLEY",NA,"","IC","Invest Cont",440,NA,NA,NA,"BAKMAN                       AV","PEACH GROVE                  ST",34.1591,-118.3774,6H 0M 0S,"Sun",6
"297",162016544,2016-09-11,2016-09-11,"07:45",20,"Olympic",2024,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","2000 2004 1218 1813 1243 1402 1407",42,"M","B",101,"STREET",114,"AIR PISTOL/REVOLVER/RIFLE/BB GUN","AA","Adult Arrest",230,998,NA,NA,"HARVARD","WILSHIRE",34.0617,-118.3041,7H 45M 0S,"Sun",7
"298",162016547,2016-09-11,2016-09-11,"18:00",20,"Olympic",2033,"210","ROBBERY","1206 0416 0429 0334 0305 0344 1218 0342",25,"M","H",108,"PARKING LOT",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",210,NA,NA,NA,"600 S  WESTERN                      AV","",34.0612,-118.3091,18H 0M 0S,"Sun",18
"299",160123214,2016-09-12,2016-09-12,"10:50",1,"Central",157,"648","ARSON","1218",45,"F","B",102,"SIDEWALK",NA,"","IC","Invest Cont",648,NA,NA,NA,"6TH                          ST","CROCKER",34.0417,-118.2443,10H 50M 0S,"Mon",10
"300",160123283,2016-09-13,2016-09-12,"13:00",1,"Central",164,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 1218",37,"M","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",230,NA,NA,NA,"7TH                          ST","SPRING                       ST",34.0445,-118.2523,13H 0M 0S,"Mon",13
"301",161319175,2016-09-12,2016-09-12,"12:30",13,"Newton",1309,"888","TRESPASSING","1218",25,"F","H",203,"OTHER BUSINESS",NA,"","IC","Invest Cont",888,NA,NA,NA,"1800 E  OLYMPIC                      BL","",34.0276,-118.2391,12H 30M 0S,"Mon",12
"302",161918204,2016-09-12,2016-09-12,"03:55",19,"Mission",1944,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0411 1218 2004 0913",37,"M","H",110,"FREEWAY",204,"FOLDING KNIFE","AO","Adult Other",230,NA,NA,NA,"CHATSWORTH","LAUREL CANYON",34.2741,-118.4484,3H 55M 0S,"Mon",3
"303",161918205,2016-09-12,2016-09-12,"03:55",19,"Mission",1944,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0411 1218 2004 0913",35,"F","W",110,"FREEWAY",204,"FOLDING KNIFE","AO","Adult Other",230,NA,NA,NA,"CHATSWORTH","LAUREL CANYON",34.2741,-118.4484,3H 55M 0S,"Mon",3
"304",160123259,2016-09-13,2016-09-13,"00:40",1,"Central",148,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0411 2004 1218",75,"M","H",102,"SIDEWALK",207,"OTHER KNIFE","AA","Adult Arrest",230,NA,NA,NA,"5TH                          ST","SAN PEDRO                    ST",34.0442,-118.2439,40M 0S,"Tues",0
"305",160123300,2016-09-13,2016-09-13,"14:50",1,"Central",156,"624","BATTERY - SIMPLE ASSAULT","2004 1218 0416 0417",45,"F","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6TH                          ST","SAN JULIAN",34.0428,-118.2461,14H 50M 0S,"Tues",14
"306",160123342,2016-09-13,2016-09-13,"21:30",1,"Central",146,"350","THEFT, PERSON","0344 0346 1218",58,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",350,NA,NA,NA,"5TH                          ST","WALL",34.0449,-118.2458,21H 30M 0S,"Tues",21
"307",160123785,2016-09-20,2016-09-13,"15:40",1,"Central",155,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 1218 0305",57,"F","B",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",230,NA,NA,NA,"6TH                          ST","MAPLE",34.0439,-118.2479,15H 40M 0S,"Tues",15
"308",160917024,2016-09-13,2016-09-13,"02:45",9,"Van Nuys",929,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1218 1822",63,"F","W",101,"STREET",114,"AIR PISTOL/REVOLVER/RIFLE/BB GUN","IC","Invest Cont",230,NA,NA,NA,"6400    WOODMAN                      AV","",34.1867,-118.4312,2H 45M 0S,"Tues",2
"309",161223226,2016-09-14,2016-09-13,"23:30",12,"77th Street",1239,"626","INTIMATE PARTNER - SIMPLE ASSAULT","1218 2000 1814 1243 0400 0416 0444 0429",26,"F","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"59TH                         ST","FIGUEROA                     ST",33.9874,-118.2827,23H 30M 0S,"Tues",23
"310",160123381,2016-09-14,2016-09-14,"14:10",1,"Central",153,"440","THEFT PLAIN - PETTY ($950 & UNDER)","0344 1218",35,"M","B",252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",NA,"","IC","Invest Cont",440,NA,NA,NA,"600 S  SPRING                       ST","",34.0467,-118.252,14H 10M 0S,"Wed",14
"311",160123404,2016-09-14,2016-09-14,"17:30",1,"Central",166,"210","ROBBERY","1218 0334 1402 0907 2004 0416 0417",30,"M","B",101,"STREET",207,"OTHER KNIFE","AA","Adult Arrest",210,998,NA,NA,"6TH                          ST","SAN JULIAN",34.0428,-118.2461,17H 30M 0S,"Wed",17
"312",160124024,2016-09-23,2016-09-14,"03:00",1,"Central",152,"440","THEFT PLAIN - PETTY ($950 & UNDER)","0344 1218",58,"M","H",101,"STREET",NA,"","IC","Invest Cont",440,NA,NA,NA,"5TH                          ST","HILL",34.0488,-118.2518,3H 0M 0S,"Wed",3
"313",160123434,2016-09-15,2016-09-15,"06:00",1,"Central",155,"220","ATTEMPTED ROBBERY","2004 1218",58,"M","H",101,"STREET",312,"PIPE/METAL PIPE","IC","Invest Cont",220,NA,NA,NA,"6TH                          ST","SAN PEDRO",34.0448,-118.2474,6H 0M 0S,"Thurs",6
"314",160123469,2016-09-15,2016-09-15,"08:00",1,"Central",166,"624","BATTERY - SIMPLE ASSAULT","1218 0416",40,"F","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6TH                          ST","SAN JULIAN",34.0428,-118.2461,8H 0M 0S,"Thurs",8
"315",160123481,2016-09-15,2016-09-15,"05:00",1,"Central",138,"440","THEFT PLAIN - PETTY ($950 & UNDER)","0344 1218",57,"F","B",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",440,NA,NA,NA,"4TH","STANFORD",34.0439,-118.2399,5H 0M 0S,"Thurs",5
"316",160123520,2016-09-16,2016-09-15,"09:30",1,"Central",158,"210","ROBBERY","1218 0416 0344",54,"F","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"6TH                          ST","GLADYS",34.0403,-118.2421,9H 30M 0S,"Thurs",9
"317",161319371,2016-09-15,2016-09-15,"18:00",13,"Newton",1363,"624","BATTERY - SIMPLE ASSAULT","1206 0429 1218 0416",42,"M","B",109,"PARK/PLAYGROUND",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"AVALON                       BL","51ST                         ST",33.9966,-118.2652,18H 0M 0S,"Thurs",18
"318",160101244,2016-09-17,2016-09-16,"06:00",1,"Central",156,"121","RAPE, FORCIBLE","1415 0500 0522 0516 1218 2004",30,"F","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,998,NA,NA,"6TH                          ST","SAN PEDRO                    ST",34.0423,-118.2452,6H 0M 0S,"Fri",6
"319",160217253,2016-09-16,2016-09-16,"01:15",2,"Rampart",218,"626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0416 0429 0340 0417 1218 2004",25,"F","B",109,"PARK/PLAYGROUND",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"700    ECHO PARK                    AV","",34.0713,-118.2597,1H 15M 0S,"Fri",1
"320",161319447,2016-09-16,2016-09-16,"14:00",13,"Newton",1385,"237","CHILD NEGLECT (SEE 300 W.I.C.)","1258 1218",NA,"F","H",402,"MARKET",NA,"","IC","Invest Cont",237,NA,NA,NA,"900 E  SLAUSON                      AV","",33.9893,-118.2593,14H 0M 0S,"Fri",14
"321",161423775,2016-09-18,2016-09-16,"11:00",14,"Pacific",1483,"626","INTIMATE PARTNER - SIMPLE ASSAULT","1218 2000",35,"F","W",501,"SINGLE FAMILY DWELLING",NA,"","AA","Adult Arrest",626,NA,NA,NA,"8700    PERSHING                     DR","",33.9547,-118.4413,11H 0M 0S,"Fri",11
"322",161518246,2016-09-16,2016-09-16,"06:00",15,"N Hollywood",1596,"210","ROBBERY","0344 0400 0390 1239 0345 1218",28,"M","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",210,NA,NA,NA,"ARCH","VENTURA",34.1339,-118.3744,6H 0M 0S,"Fri",6
"323",161518283,2016-09-16,2016-09-16,"19:30",15,"N Hollywood",1524,"626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 0416 2004 1218 0906",21,"F","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",626,NA,NA,NA,"VICTORY                      BL","LAUREL CANYON                BL",34.1867,-118.3965,19H 30M 0S,"Fri",19
